VW, ArtistAndTitle, WeeksAndPeak, Rank, Week
VW 22,Mike Candys feat. Max'C</b><br/>Last Man On Earth</a>,W 2 | P 22,41,15.03.2015
VW 47,Jessie J / Ariana Grande / Nicki Minaj</b><br/>Bang Bang</a>,W 31 | P 21,42,15.03.2015
VW 67,Chris Brown x Tyga</b><br/>Ayo</a>,W 5 | P 43,43,15.03.2015
VW 33,Taylor Swift</b><br/>Shake It Off</a>,W 30 | P 7,44,15.03.2015
re,Eminem</b><br/>Lose Yourself</a>,W 45 | P 1,45,15.03.2015
VW 42,Ed Sheeran</b><br/>I See Fire</a>,W 64 | P 2,46,15.03.2015
VW 62,Coldplay</b><br/>A Sky Full Of Stars</a>,W 44 | P 2,47,15.03.2015
VW 68,Calvin Harris feat. John Newman</b><br/>Blame</a>,W 27 | P 4,48,15.03.2015
neu,Shem Thomas</b><br/>We Just Need A Little</a>,W 1 | P 49,49,15.03.2015
re,Zedd feat. Selena Gomez</b><br/>I Want You To Know</a>,W 2 | P 50,50,15.03.2015
VW 69,Sheppard</b><br/>Geronimo</a>,W 27 | P 15,51,15.03.2015
VW 54,David Guetta feat. Emeli Sandé</b><br/>What I Did For Love</a>,W 4 | P 37,52,15.03.2015
VW 38,Christine And The Queens</b><br/>Christine</a>,W 5 | P 38,53,15.03.2015
VW 51,Olly Murs feat. Demi Lovato</b><br/>Up</a>,W 8 | P 42,54,15.03.2015
VW 50,Pharrell Williams</b><br/>Happy</a>,W 67 | P 1,55,15.03.2015
VW 53,Enrique Iglesias feat. Descemer Bueno / Gente De Zona</b><br/>Bailando</a>,W 45 | P 4,56,15.03.2015
VW 70,Louane</b><br/>Avenir</a>,W 3 | P 57,57,15.03.2015
VW 55,Maroon 5</b><br/>Animals</a>,W 27 | P 18,58,15.03.2015
VW 57,Philip George</b><br/>Wish You Were Mine</a>,W 5 | P 46,59,15.03.2015
VW 58,Ed Sheeran</b><br/>Don't</a>,W 37 | P 7,60,15.03.2015
re,Clean Bandit feat. Jess Glynne</b><br/>Rather Be</a>,W 54 | P 2,61,15.03.2015
VW 60,Tom Odell</b><br/>Another Love</a>,W 85 | P 23,62,15.03.2015
VW 49,Fritz Kalkbrenner</b><br/>Back Home</a>,W 21 | P 14,63,15.03.2015
VW 66,Kanye West feat. Theophilus London| Allan Kingdom &amp; Paul McCartney</b><br/>All Day</a>,W 2 | P 64,64,15.03.2015
re,Imagine Dragons</b><br/>Radioactive</a>,W 62 | P 5,65,15.03.2015
VW 39,Helene Fischer</b><br/>Atemlos durch die Nacht</a>,W 68 | P 2,66,15.03.2015
VW 63,Galantis</b><br/>Runaway (U &amp; I)</a>,W 6 | P 42,67,15.03.2015
neu,Nickless</b><br/>Waiting</a>,W 1 | P 68,68,15.03.2015
VW 45,Stress feat. Nicole Bernegger</b><br/>Horizon</a>,W 11 | P 15,69,15.03.2015
re,Alesso feat. Tove Lo</b><br/>Heroes (We Could Be)</a>,W 15 | P 47,70,15.03.2015
re,Guns N' Roses</b><br/>Knockin' On Heaven's Door</a>,W 31 | P 5,71,15.03.2015
re,Madonna</b><br/>Living For Love</a>,W 3 | P 49,72,15.03.2015
re,Andreas Bourani</b><br/>Auf uns</a>,W 38 | P 2,73,15.03.2015
VW 73,Ariana Grande &amp; The Weeknd</b><br/>Love Me Harder</a>,W 17 | P 40,74,15.03.2015
re,George Ezra</b><br/>Budapest</a>,W 50 | P 7,75,15.03.2015
VW 2,Omi</b><br/>Cheerleader (Felix Jaehn Remix)</a>,W 7 | P 1,1,22.03.2015
VW 1,Ellie Goulding</b><br/>Love Me Like You Do</a>,W 6 | P 1,2,22.03.2015
VW 3,Rihanna and Kanye West and Paul McCartney</b><br/>FourFiveSeconds</a>,W 8 | P 3,3,22.03.2015
VW 4,Kygo feat. Conrad</b><br/>Firestone</a>,W 7 | P 4,4,22.03.2015
VW 11,Lost Frequencies</b><br/>Are You With Me</a>,W 7 | P 5,5,22.03.2015
VW 5,Mark Ronson feat. Bruno Mars</b><br/>Uptown Funk!</a>,W 18 | P 2,6,22.03.2015
VW 6,Hozier</b><br/>Take Me To Church</a>,W 26 | P 1,7,22.03.2015
VW 7,The Weeknd</b><br/>Earned It</a>,W 9 | P 7,8,22.03.2015
VW 8,Lo &amp; Leduc</b><br/>Jung verdammt</a>,W 25 | P 2,9,22.03.2015
VW 12,James Bay</b><br/>Hold Back The River</a>,W 11 | P 4,10,22.03.2015
VW 13,Maroon 5</b><br/>Sugar</a>,W 9 | P 11,11,22.03.2015
VW 10,Ed Sheeran</b><br/>Thinking Out Loud</a>,W 21 | P 3,12,22.03.2015
neu,Muse</b><br/>Psycho</a>,W 1 | P 13,13,22.03.2015
VW 17,Sia feat. The Weeknd &amp; Diplo</b><br/>Elastic Heart</a>,W 10 | P 12,14,22.03.2015
VW 15,Kwabs</b><br/>Walk</a>,W 19 | P 4,15,22.03.2015
VW 14,Calvin Harris feat. Ellie Goulding</b><br/>Outside</a>,W 22 | P 5,16,22.03.2015
VW 16,Sam Smith</b><br/>I'm Not The Only One</a>,W 27 | P 12,17,22.03.2015
VW 18,AronChupa</b><br/>I'm An Albatraoz</a>,W 18 | P 6,18,22.03.2015
VW 9,Stefanie Heinzmann</b><br/>In The End</a>,W 2 | P 9,19,22.03.2015
VW 19,The Avener</b><br/>Fade Out Lines</a>,W 25 | P 3,20,22.03.2015
VW 24,Meghan Trainor</b><br/>Lips Are Movin</a>,W 10 | P 21,21,22.03.2015
re,Ricardo Sanz &amp; The Swan Big Band</b><br/>The Fire's Still Alive</a>,W 2 | P 20,22,22.03.2015
VW 30,Echosmith</b><br/>Cool Kids</a>,W 13 | P 9,23,22.03.2015
VW 21,Robin Schulz feat. Jasmine Thompson</b><br/>Sun Goes Down</a>,W 26 | P 3,24,22.03.2015
VW 28,Lilly Wood &amp; The Prick and Robin Schulz</b><br/>Prayer In C (Robin Schulz Remix)</a>,W 41 | P 1,25,22.03.2015
VW 34,Ariana Grande</b><br/>One Last Time</a>,W 4 | P 26,26,22.03.2015
VW 22,David Guetta feat. Sam Martin</b><br/>Dangerous</a>,W 19 | P 1,27,22.03.2015
VW 23,Avicii</b><br/>The Nights</a>,W 15 | P 17,28,22.03.2015
VW 33,Flo Rida feat. Sage The Gemini &amp; Lookas</b><br/>G.D.F.R.</a>,W 10 | P 29,29,22.03.2015
VW 27,Sia</b><br/>Chandelier</a>,W 44 | P 2,30,22.03.2015
VW 20,Sam Smith</b><br/>Stay With Me</a>,W 45 | P 6,31,22.03.2015
VW 31,John Legend</b><br/>All Of Me</a>,W 59 | P 1,32,22.03.2015
VW 68,Nickless</b><br/>Waiting</a>,W 2 | P 33,33,22.03.2015
VW 37,Dodo</b><br/>Hippie-Bus</a>,W 4 | P 27,34,22.03.2015
VW 26,Charli XCX</b><br/>Break The Rules</a>,W 9 | P 13,35,22.03.2015
VW 25,Taylor Swift</b><br/>Blank Space</a>,W 18 | P 12,36,22.03.2015
VW 29,Müslüm</b><br/>La bambele</a>,W 10 | P 10,37,22.03.2015
VW 32,Meghan Trainor</b><br/>All About That Bass</a>,W 31 | P 1,38,22.03.2015
neu,Years &amp; Years</b><br/>King</a>,W 1 | P 39,39,22.03.2015
VW 44,Taylor Swift</b><br/>Shake It Off</a>,W 31 | P 7,40,22.03.2015
VW 59,Philip George</b><br/>Wish You Were Mine</a>,W 6 | P 41,41,22.03.2015
VW 35,Pitbull &amp; Ne-Yo</b><br/>Time Of Our Lives</a>,W 2 | P 35,42,22.03.2015
neu,Zara Larsson</b><br/>Uncover</a>,W 1 | P 43,43,22.03.2015
neu,Sam Smith</b><br/>Lay Me Down</a>,W 1 | P 44,44,22.03.2015
VW 39,Tove Lo</b><br/>Habits</a>,W 34 | P 3,45,22.03.2015
VW 38,Kelly Clarkson</b><br/>Heartbeat Song</a>,W 3 | P 38,46,22.03.2015
neu,Mumford &amp; Sons</b><br/>Believe</a>,W 1 | P 47,47,22.03.2015
VW 52,David Guetta feat. Emeli Sandé</b><br/>What I Did For Love</a>,W 5 | P 37,48,22.03.2015
neu,Wiz Khalifa feat. Charlie Puth</b><br/>See You Again</a>,W 1 | P 49,49,22.03.2015
VW 42,Jessie J / Ariana Grande / Nicki Minaj</b><br/>Bang Bang</a>,W 32 | P 21,50,22.03.2015
VW 54,Olly Murs feat. Demi Lovato</b><br/>Up</a>,W 9 | P 42,51,22.03.2015
VW 46,Ed Sheeran</b><br/>I See Fire</a>,W 65 | P 2,52,22.03.2015
VW 43,Chris Brown x Tyga</b><br/>Ayo</a>,W 6 | P 43,53,22.03.2015
VW 48,Calvin Harris feat. John Newman</b><br/>Blame</a>,W 28 | P 4,54,22.03.2015
VW 55,Pharrell Williams</b><br/>Happy</a>,W 68 | P 1,55,22.03.2015
re,Ariana Grande feat. Zedd</b><br/>Break Free</a>,W 28 | P 15,56,22.03.2015
VW 50,Zedd feat. Selena Gomez</b><br/>I Want You To Know</a>,W 3 | P 50,57,22.03.2015
VW 56,Enrique Iglesias feat. Descemer Bueno / Gente De Zona</b><br/>Bailando</a>,W 46 | P 4,58,22.03.2015
re,Avicii</b><br/>Addicted To You</a>,W 33 | P 4,59,22.03.2015
VW 53,Christine And The Queens</b><br/>Christine</a>,W 6 | P 38,60,22.03.2015
re,Andreas Gabalier</b><br/>Amoi seg' ma uns wieder</a>,W 20 | P 6,61,22.03.2015
VW 51,Sheppard</b><br/>Geronimo</a>,W 28 | P 15,62,22.03.2015
VW 58,Maroon 5</b><br/>Animals</a>,W 28 | P 18,63,22.03.2015
VW 67,Galantis</b><br/>Runaway (U &amp; I)</a>,W 7 | P 42,64,22.03.2015
VW 65,Imagine Dragons</b><br/>Radioactive</a>,W 63 | P 5,65,22.03.2015
VW 75,George Ezra</b><br/>Budapest</a>,W 51 | P 7,66,22.03.2015
VW 57,Louane</b><br/>Avenir</a>,W 4 | P 57,67,22.03.2015
VW 66,Helene Fischer</b><br/>Atemlos durch die Nacht</a>,W 69 | P 2,68,22.03.2015
VW 61,Clean Bandit feat. Jess Glynne</b><br/>Rather Be</a>,W 55 | P 2,69,22.03.2015
re,James Morrison</b><br/>I Won't Let You Go</a>,W 21 | P 3,70,22.03.2015
re,The Avener feat. Rodriguez</b><br/>Hate Street Dialogue</a>,W 3 | P 41,71,22.03.2015
re,Indila</b><br/>Dernière danse</a>,W 25 | P 15,72,22.03.2015
VW 70,Alesso feat. Tove Lo</b><br/>Heroes (We Could Be)</a>,W 16 | P 47,73,22.03.2015
re,Pitbull feat. Ke$ha</b><br/>Timber</a>,W 37 | P 3,74,22.03.2015
re,Clean Bandit &amp; Jess Glynne</b><br/>Real Love</a>,W 10 | P 37,75,22.03.2015
VW 1,Omi</b><br/>Cheerleader (Felix Jaehn Remix)</a>,W 8 | P 1,1,29.03.2015
VW 5,Lost Frequencies</b><br/>Are You With Me</a>,W 8 | P 2,2,29.03.2015
VW 2,Ellie Goulding</b><br/>Love Me Like You Do</a>,W 7 | P 1,3,29.03.2015
VW 3,Rihanna and Kanye West and Paul McCartney</b><br/>FourFiveSeconds</a>,W 9 | P 3,4,29.03.2015
VW 4,Kygo feat. Conrad</b><br/>Firestone</a>,W 8 | P 4,5,29.03.2015
VW 10,James Bay</b><br/>Hold Back The River</a>,W 12 | P 4,6,29.03.2015
VW 6,Mark Ronson feat. Bruno Mars</b><br/>Uptown Funk!</a>,W 19 | P 2,7,29.03.2015
VW 8,The Weeknd</b><br/>Earned It</a>,W 10 | P 7,8,29.03.2015
VW 7,Hozier</b><br/>Take Me To Church</a>,W 27 | P 1,9,29.03.2015
VW 11,Maroon 5</b><br/>Sugar</a>,W 10 | P 10,10,29.03.2015
VW 9,Lo &amp; Leduc</b><br/>Jung verdammt</a>,W 26 | P 2,11,29.03.2015
VW 12,Ed Sheeran</b><br/>Thinking Out Loud</a>,W 22 | P 3,12,29.03.2015
VW 43,Zara Larsson</b><br/>Uncover</a>,W 2 | P 13,13,29.03.2015
VW 14,Sia feat. The Weeknd &amp; Diplo</b><br/>Elastic Heart</a>,W 11 | P 12,14,29.03.2015
VW 19,Stefanie Heinzmann</b><br/>In The End</a>,W 3 | P 9,15,29.03.2015
VW 16,Calvin Harris feat. Ellie Goulding</b><br/>Outside</a>,W 23 | P 5,16,29.03.2015
VW 15,Kwabs</b><br/>Walk</a>,W 20 | P 4,17,29.03.2015
VW 21,Meghan Trainor</b><br/>Lips Are Movin</a>,W 11 | P 18,18,29.03.2015
VW 39,Years &amp; Years</b><br/>King</a>,W 2 | P 19,19,29.03.2015
VW 17,Sam Smith</b><br/>I'm Not The Only One</a>,W 28 | P 12,20,29.03.2015
neu,Major Lazer &amp; DJ Snake feat. MØ</b><br/>Lean On</a>,W 1 | P 21,21,29.03.2015
VW 25,Lilly Wood &amp; The Prick and Robin Schulz</b><br/>Prayer In C (Robin Schulz Remix)</a>,W 42 | P 1,22,29.03.2015
VW 23,Echosmith</b><br/>Cool Kids</a>,W 14 | P 9,23,29.03.2015
VW 32,John Legend</b><br/>All Of Me</a>,W 60 | P 1,24,29.03.2015
VW 26,Ariana Grande</b><br/>One Last Time</a>,W 5 | P 25,25,29.03.2015
VW 20,The Avener</b><br/>Fade Out Lines</a>,W 26 | P 3,26,29.03.2015
VW 18,AronChupa</b><br/>I'm An Albatraoz</a>,W 19 | P 6,27,29.03.2015
VW 24,Robin Schulz feat. Jasmine Thompson</b><br/>Sun Goes Down</a>,W 27 | P 3,28,29.03.2015
VW 35,Charli XCX</b><br/>Break The Rules</a>,W 10 | P 13,29,29.03.2015
VW 29,Flo Rida feat. Sage The Gemini &amp; Lookas</b><br/>G.D.F.R.</a>,W 11 | P 29,30,29.03.2015
VW 33,Nickless</b><br/>Waiting</a>,W 3 | P 31,31,29.03.2015
VW 13,Muse</b><br/>Psycho</a>,W 2 | P 13,32,29.03.2015
VW 28,Avicii</b><br/>The Nights</a>,W 16 | P 17,33,29.03.2015
neu,Johannes Oerding</b><br/>Alles brennt</a>,W 1 | P 34,34,29.03.2015
VW 27,David Guetta feat. Sam Martin</b><br/>Dangerous</a>,W 20 | P 1,35,29.03.2015
VW 49,Wiz Khalifa feat. Charlie Puth</b><br/>See You Again</a>,W 2 | P 36,36,29.03.2015
VW 31,Sam Smith</b><br/>Stay With Me</a>,W 46 | P 6,37,29.03.2015
VW 30,Sia</b><br/>Chandelier</a>,W 45 | P 2,38,29.03.2015
VW 41,Philip George</b><br/>Wish You Were Mine</a>,W 7 | P 39,39,29.03.2015
VW 38,Meghan Trainor</b><br/>All About That Bass</a>,W 32 | P 1,40,29.03.2015
VW 36,Taylor Swift</b><br/>Blank Space</a>,W 19 | P 12,41,29.03.2015
VW 34,Dodo</b><br/>Hippie-Bus</a>,W 5 | P 27,42,29.03.2015
re,James Newton Howard feat. Jennifer Lawrence</b><br/>The Hanging Tree</a>,W 16 | P 4,43,29.03.2015
VW 46,Kelly Clarkson</b><br/>Heartbeat Song</a>,W 4 | P 38,44,29.03.2015
VW 42,Pitbull &amp; Ne-Yo</b><br/>Time Of Our Lives</a>,W 3 | P 35,45,29.03.2015
VW 48,David Guetta feat. Emeli Sandé</b><br/>What I Did For Love</a>,W 6 | P 37,46,29.03.2015
re,Hoodie Allen feat. Ed Sheeran</b><br/>All About It</a>,W 2 | P 36,47,29.03.2015
VW 64,Galantis</b><br/>Runaway (U &amp; I)</a>,W 8 | P 42,48,29.03.2015
VW 37,Müslüm</b><br/>La bambele</a>,W 11 | P 10,49,29.03.2015
VW 44,Sam Smith</b><br/>Lay Me Down</a>,W 2 | P 44,50,29.03.2015
VW 60,Christine And The Queens</b><br/>Christine</a>,W 7 | P 38,51,29.03.2015
VW 50,Jessie J / Ariana Grande / Nicki Minaj</b><br/>Bang Bang</a>,W 33 | P 21,52,29.03.2015
VW 53,Chris Brown x Tyga</b><br/>Ayo</a>,W 7 | P 43,53,29.03.2015
VW 54,Calvin Harris feat. John Newman</b><br/>Blame</a>,W 29 | P 4,54,29.03.2015
VW 57,Zedd feat. Selena Gomez</b><br/>I Want You To Know</a>,W 4 | P 50,55,29.03.2015
VW 51,Olly Murs feat. Demi Lovato</b><br/>Up</a>,W 10 | P 42,56,29.03.2015
VW 45,Tove Lo</b><br/>Habits</a>,W 35 | P 3,57,29.03.2015
VW 52,Ed Sheeran</b><br/>I See Fire</a>,W 66 | P 2,58,29.03.2015
VW 40,Taylor Swift</b><br/>Shake It Off</a>,W 32 | P 7,59,29.03.2015
VW 66,George Ezra</b><br/>Budapest</a>,W 52 | P 7,60,29.03.2015
re,Marlon Roudette</b><br/>When The Beat Drops Out</a>,W 29 | P 2,61,29.03.2015
VW 58,Enrique Iglesias feat. Descemer Bueno / Gente De Zona</b><br/>Bailando</a>,W 47 | P 4,62,29.03.2015
VW 55,Pharrell Williams</b><br/>Happy</a>,W 69 | P 1,63,29.03.2015
re,Ariana Grande &amp; The Weeknd</b><br/>Love Me Harder</a>,W 18 | P 40,64,29.03.2015
neu,Martin Garrix feat. Usher</b><br/>Don't Look Down</a>,W 1 | P 65,65,29.03.2015
VW 47,Mumford &amp; Sons</b><br/>Believe</a>,W 2 | P 47,66,29.03.2015
VW 68,Helene Fischer</b><br/>Atemlos durch die Nacht</a>,W 70 | P 2,67,29.03.2015
VW 67,Louane</b><br/>Avenir</a>,W 5 | P 57,68,29.03.2015
neu,The Script</b><br/>No Good In Goodbye</a>,W 1 | P 69,69,29.03.2015
neu,Muse</b><br/>Dead Inside</a>,W 1 | P 70,70,29.03.2015
neu,Imagine Dragons</b><br/>I Bet My Life</a>,W 1 | P 71,71,29.03.2015
re,Andreas Bourani</b><br/>Auf uns</a>,W 39 | P 2,72,29.03.2015
neu,Meghan Trainor</b><br/>Dear Future Husband</a>,W 1 | P 73,73,29.03.2015
VW 69,Clean Bandit feat. Jess Glynne</b><br/>Rather Be</a>,W 56 | P 2,74,29.03.2015
VW 63,Maroon 5</b><br/>Animals</a>,W 29 | P 18,75,29.03.2015
VW 2,Lost Frequencies</b><br/>Are You With Me</a>,W 9 | P 1,1,05.04.2015
VW 1,Omi</b><br/>Cheerleader (Felix Jaehn Remix)</a>,W 9 | P 1,2,05.04.2015
VW 3,Ellie Goulding</b><br/>Love Me Like You Do</a>,W 8 | P 1,3,05.04.2015
VW 4,Rihanna and Kanye West and Paul McCartney</b><br/>FourFiveSeconds</a>,W 10 | P 3,4,05.04.2015
VW 5,Kygo feat. Conrad</b><br/>Firestone</a>,W 9 | P 4,5,05.04.2015
neu,Klingande feat. Broken Back</b><br/>Riva (Restart The Game)</a>,W 1 | P 6,6,05.04.2015
neu,Rihanna</b><br/>Bitch Better Have My Money</a>,W 1 | P 7,7,05.04.2015
VW 7,Mark Ronson feat. Bruno Mars</b><br/>Uptown Funk!</a>,W 20 | P 2,8,05.04.2015
VW 8,The Weeknd</b><br/>Earned It</a>,W 11 | P 7,9,05.04.2015
VW 6,James Bay</b><br/>Hold Back The River</a>,W 13 | P 4,10,05.04.2015
VW 9,Hozier</b><br/>Take Me To Church</a>,W 28 | P 1,11,05.04.2015
VW 15,Stefanie Heinzmann</b><br/>In The End</a>,W 4 | P 9,12,05.04.2015
VW 10,Maroon 5</b><br/>Sugar</a>,W 11 | P 10,13,05.04.2015
VW 12,Ed Sheeran</b><br/>Thinking Out Loud</a>,W 23 | P 3,14,05.04.2015
VW 11,Lo &amp; Leduc</b><br/>Jung verdammt</a>,W 27 | P 2,15,05.04.2015
VW 14,Sia feat. The Weeknd &amp; Diplo</b><br/>Elastic Heart</a>,W 12 | P 12,16,05.04.2015
VW 13,Zara Larsson</b><br/>Uncover</a>,W 3 | P 13,17,05.04.2015
VW 31,Nickless</b><br/>Waiting</a>,W 4 | P 18,18,05.04.2015
neu,Mr. Da-Nos feat. David Anthony</b><br/>Tell Me Why 2K15</a>,W 1 | P 19,19,05.04.2015
VW 19,Years &amp; Years</b><br/>King</a>,W 3 | P 19,20,05.04.2015
neu,Kygo feat. Parson James</b><br/>Stole The Show</a>,W 1 | P 21,21,05.04.2015
VW 21,Major Lazer &amp; DJ Snake feat. MØ</b><br/>Lean On</a>,W 2 | P 21,22,05.04.2015
VW 17,Kwabs</b><br/>Walk</a>,W 21 | P 4,23,05.04.2015
VW 16,Calvin Harris feat. Ellie Goulding</b><br/>Outside</a>,W 24 | P 5,24,05.04.2015
VW 18,Meghan Trainor</b><br/>Lips Are Movin</a>,W 12 | P 18,25,05.04.2015
VW 28,Robin Schulz feat. Jasmine Thompson</b><br/>Sun Goes Down</a>,W 28 | P 3,26,05.04.2015
VW 22,Lilly Wood &amp; The Prick and Robin Schulz</b><br/>Prayer In C (Robin Schulz Remix)</a>,W 43 | P 1,27,05.04.2015
VW 40,Meghan Trainor</b><br/>All About That Bass</a>,W 33 | P 1,28,05.04.2015
VW 20,Sam Smith</b><br/>I'm Not The Only One</a>,W 29 | P 12,29,05.04.2015
VW 30,Flo Rida feat. Sage The Gemini &amp; Lookas</b><br/>G.D.F.R.</a>,W 12 | P 29,30,05.04.2015
VW 26,The Avener</b><br/>Fade Out Lines</a>,W 27 | P 3,31,05.04.2015
VW 27,AronChupa</b><br/>I'm An Albatraoz</a>,W 20 | P 6,32,05.04.2015
VW 37,Sam Smith</b><br/>Stay With Me</a>,W 47 | P 6,33,05.04.2015
VW 47,Hoodie Allen feat. Ed Sheeran</b><br/>All About It</a>,W 3 | P 34,34,05.04.2015
VW 33,Avicii</b><br/>The Nights</a>,W 17 | P 17,35,05.04.2015
VW 24,John Legend</b><br/>All Of Me</a>,W 61 | P 1,36,05.04.2015
VW 35,David Guetta feat. Sam Martin</b><br/>Dangerous</a>,W 21 | P 1,37,05.04.2015
VW 41,Taylor Swift</b><br/>Blank Space</a>,W 20 | P 12,38,05.04.2015
VW 38,Sia</b><br/>Chandelier</a>,W 46 | P 2,39,05.04.2015
neu,Nicky Jam &amp; Enrique Iglesias</b><br/>El perdón</a>,W 1 | P 40,40,05.04.2015
VW 25,Ariana Grande</b><br/>One Last Time</a>,W 6 | P 25,41,05.04.2015
VW 44,Kelly Clarkson</b><br/>Heartbeat Song</a>,W 5 | P 38,42,05.04.2015
VW 68,Louane</b><br/>Avenir</a>,W 6 | P 43,43,05.04.2015
VW 45,Pitbull &amp; Ne-Yo</b><br/>Time Of Our Lives</a>,W 4 | P 35,44,05.04.2015
VW 42,Dodo</b><br/>Hippie-Bus</a>,W 6 | P 27,45,05.04.2015
VW 59,Taylor Swift</b><br/>Shake It Off</a>,W 33 | P 7,46,05.04.2015
VW 23,Echosmith</b><br/>Cool Kids</a>,W 15 | P 9,47,05.04.2015
VW 34,Johannes Oerding</b><br/>Alles brennt</a>,W 2 | P 34,48,05.04.2015
VW 32,Muse</b><br/>Psycho</a>,W 3 | P 13,49,05.04.2015
VW 29,Charli XCX</b><br/>Break The Rules</a>,W 11 | P 13,50,05.04.2015
VW 49,Müslüm</b><br/>La bambele</a>,W 12 | P 10,51,05.04.2015
VW 53,Chris Brown x Tyga</b><br/>Ayo</a>,W 8 | P 43,52,05.04.2015
VW 70,Muse</b><br/>Dead Inside</a>,W 2 | P 53,53,05.04.2015
VW 39,Philip George</b><br/>Wish You Were Mine</a>,W 8 | P 39,54,05.04.2015
VW 50,Sam Smith</b><br/>Lay Me Down</a>,W 3 | P 44,55,05.04.2015
VW 62,Enrique Iglesias feat. Descemer Bueno / Gente De Zona</b><br/>Bailando</a>,W 48 | P 4,56,05.04.2015
VW 52,Jessie J / Ariana Grande / Nicki Minaj</b><br/>Bang Bang</a>,W 34 | P 21,57,05.04.2015
VW 43,James Newton Howard feat. Jennifer Lawrence</b><br/>The Hanging Tree</a>,W 17 | P 4,58,05.04.2015
VW 51,Christine And The Queens</b><br/>Christine</a>,W 8 | P 38,59,05.04.2015
VW 66,Mumford &amp; Sons</b><br/>Believe</a>,W 3 | P 47,60,05.04.2015
VW 55,Zedd feat. Selena Gomez</b><br/>I Want You To Know</a>,W 5 | P 50,61,05.04.2015
VW 56,Olly Murs feat. Demi Lovato</b><br/>Up</a>,W 11 | P 42,62,05.04.2015
VW 48,Galantis</b><br/>Runaway (U &amp; I)</a>,W 9 | P 42,63,05.04.2015
VW 57,Tove Lo</b><br/>Habits</a>,W 36 | P 3,64,05.04.2015
VW 46,David Guetta feat. Emeli Sandé</b><br/>What I Did For Love</a>,W 7 | P 37,65,05.04.2015
re,Fritz Kalkbrenner</b><br/>Back Home</a>,W 22 | P 14,66,05.04.2015
VW 58,Ed Sheeran</b><br/>I See Fire</a>,W 67 | P 2,67,05.04.2015
VW 54,Calvin Harris feat. John Newman</b><br/>Blame</a>,W 30 | P 4,68,05.04.2015
VW 63,Pharrell Williams</b><br/>Happy</a>,W 70 | P 1,69,05.04.2015
VW 64,Ariana Grande &amp; The Weeknd</b><br/>Love Me Harder</a>,W 19 | P 40,70,05.04.2015
VW 74,Clean Bandit feat. Jess Glynne</b><br/>Rather Be</a>,W 57 | P 2,71,05.04.2015
VW 67,Helene Fischer</b><br/>Atemlos durch die Nacht</a>,W 71 | P 2,72,05.04.2015
re,Andreas Bourani</b><br/>Auf anderen Wegen</a>,W 20 | P 31,73,05.04.2015
VW 72,Andreas Bourani</b><br/>Auf uns</a>,W 40 | P 2,74,05.04.2015
VW 61,Marlon Roudette</b><br/>When The Beat Drops Out</a>,W 30 | P 2,75,05.04.2015
re,Wiz Khalifa feat. Charlie Puth</b><br/>See You Again</a>,W 3 | P 1,1,12.04.2015
VW 1,Lost Frequencies</b><br/>Are You With Me</a>,W 10 | P 1,2,12.04.2015
VW 2,Omi</b><br/>Cheerleader (Felix Jaehn Remix)</a>,W 10 | P 1,3,12.04.2015
VW 3,Ellie Goulding</b><br/>Love Me Like You Do</a>,W 9 | P 1,4,12.04.2015
VW 4,Rihanna and Kanye West and Paul McCartney</b><br/>FourFiveSeconds</a>,W 11 | P 3,5,12.04.2015
VW 5,Kygo feat. Conrad</b><br/>Firestone</a>,W 10 | P 4,6,12.04.2015
VW 8,Mark Ronson feat. Bruno Mars</b><br/>Uptown Funk!</a>,W 21 | P 2,7,12.04.2015
VW 6,Klingande feat. Broken Back</b><br/>Riva (Restart The Game)</a>,W 2 | P 6,8,12.04.2015
VW 9,The Weeknd</b><br/>Earned It</a>,W 12 | P 7,9,12.04.2015
VW 11,Hozier</b><br/>Take Me To Church</a>,W 29 | P 1,10,12.04.2015
neu,Felix Jaehn feat. Jasmine Thompson</b><br/>Ain't Nobody (Loves Me Better)</a>,W 1 | P 11,11,12.04.2015
VW 13,Maroon 5</b><br/>Sugar</a>,W 12 | P 10,12,12.04.2015
VW 10,James Bay</b><br/>Hold Back The River</a>,W 14 | P 4,13,12.04.2015
VW 18,Nickless</b><br/>Waiting</a>,W 5 | P 14,14,12.04.2015
VW 14,Ed Sheeran</b><br/>Thinking Out Loud</a>,W 24 | P 3,15,12.04.2015
VW 20,Years &amp; Years</b><br/>King</a>,W 4 | P 16,16,12.04.2015
VW 15,Lo &amp; Leduc</b><br/>Jung verdammt</a>,W 28 | P 2,17,12.04.2015
VW 22,Major Lazer &amp; DJ Snake feat. MØ</b><br/>Lean On</a>,W 3 | P 18,18,12.04.2015
VW 17,Zara Larsson</b><br/>Uncover</a>,W 4 | P 13,19,12.04.2015
neu,Robin Schulz feat. Ilsey</b><br/>Headlights</a>,W 1 | P 20,20,12.04.2015
VW 16,Sia feat. The Weeknd &amp; Diplo</b><br/>Elastic Heart</a>,W 13 | P 12,21,12.04.2015
VW 23,Kwabs</b><br/>Walk</a>,W 22 | P 4,22,12.04.2015
VW 30,Flo Rida feat. Sage The Gemini &amp; Lookas</b><br/>G.D.F.R.</a>,W 13 | P 23,23,12.04.2015
VW 24,Calvin Harris feat. Ellie Goulding</b><br/>Outside</a>,W 25 | P 5,24,12.04.2015
